4268	9169
202	3579
202	7793
247	2445
277	3957
599	1537
728	6781
752	1235
807	2351
916	7736
1203	2649
1456	5071
1519	6316
1582	5854
2272	4095
2320	3131
2335	5973
2341	5103
2373	6567
2398	4076
2600	8872
2723	4337
2796	3973
2872	5068
2926	4455
3046	7687
3083	8214
3183	8751
3340	7740
3579	7793
4048	8214
4071	5518
4238	8214
4455	9813
4894	8514
5199	9690
5248	7875
5481	6930
5558	9323
5668	6748
6236	7939
6551	7318
6782	8214
7010	9040
7293	8238
7433	8680
7641	9707
9091	9207
6	1032
15	7218
16	2422
16	9165
16	9814
24	187
24	1609
24	2639
24	3047
24	6796
27	9321
30	8741
32	7317
38	2689
54	2314
54	2926
54	4455
54	9040
54	9582
54	9813
56	1884
56	2940
56	9041
57	8419
60	3998
60	4198
60	4818
74	728
74	3340
74	4519
74	5618
74	6781
74	7740
74	8279
76	6153
84	7043
87	7737
101	7664
101	7665
102	5277
103	6743
113	1805
130	8812
131	3140
131	8070
134	5283
155	6068
155	7070
160	8268
174	1564
174	1870
174	2272
174	2924
174	3708
174	4454
195	1822
201	1602
201	4227
201	7469
202	535
202	1166
202	7218
202	7293
202	8238
202	8353
208	7617
218	4000
218	4156
218	8660
219	3295
219	7433
219	8680
219	9478
221	3590
227	3082
227	7036
229	4975
229	5352
230	3912
232	3912
239	3000
239	3420
246	2160
247	4733
247	9691
250	9204
259	1011
265	3165
265	3469
265	4353
265	5662
265	9365
269	1259
269	1775
269	1777
269	6138
269	8075
269	8268
269	8834
269	8835
271	475
271	2889
271	3067
271	6137
271	6219
271	9466
273	6967
273	7763
273	9388
283	6163
288	7568
296	5317
297	9729
307	2320
307	3131
307	6616
307	6837
314	4540
321	2570
321	2806
322	9077
323	6968
326	6484
338	9131
346	2765
346	8441
356	4299
358	4299
375	5156
387	2924
387	8016
387	8752
387	8937
387	9690
389	3529
398	3532
399	2085
401	5796
420	6537
420	7457
420	7872
420	9363
421	9477
422	5618
423	1154
423	4000
427	5353
427	8133
433	1420
434	1866
434	7679
442	8988
444	5198
446	2023
446	2463
446	4663
455	5559
457	1442
457	5779
457	5780
458	6879
472	1210
475	3067
475	5737
475	8529
475	9175
486	1644
491	2241
504	5641
504	5714
504	5952
504	9592
527	3569
535	964
535	1166
535	5626
535	7218
535	8353
556	1298
557	5616
558	5002
566	4134
578	615
578	4049
578	8099
580	1635
580	4251
580	6618
584	1869
593	1774
593	6247
594	5668
594	6748
597	7699
598	1535
598	1836
598	7397
598	8752
599	2555
605	4725
608	7155
613	4210
613	6648
614	5960
631	2928
632	7737
633	3112
650	2615
650	4870
650	6015
650	8088
650	8423
663	7397
672	4781
721	3742
725	9609
726	2024
726	2941
728	5618
728	8279
734	2677
736	9645
738	1476
739	9302
740	7393
740	7421
752	2215
752	3037
752	4333
752	7093
752	7641
752	9707
759	9314
786	7005
807	6246
819	4355
830	2073
830	2624
830	3218
830	4162
832	2074
832	2626
832	3216
832	3633
832	4161
832	6696
837	3249
839	2464
839	7352
840	9458
851	4860
851	5066
862	1398
875	9485
876	8637
887	6670
887	8915
891	9041
903	8223
905	1977
910	8978
916	2719
923	2598
923	9301
927	7041
927	9667
928	3972
928	4115
928	4286
928	5562
928	6250
929	8235
936	1387
937	8957
939	6282
959	3212
974	1154
981	9202
1006	3574
1006	6659
1006	9068
1017	7253
1032	4594
1032	6561
1034	2996
1034	9619
1040	2215
1040	7896
1050	2612
1055	3494
1071	5143
1071	5144
1095	2256
1095	2989
1095	7698
1097	7557
1122	9679
1127	8702
1138	7908
1142	1280
1142	4258
1147	7454
1147	7988
1166	7218
1166	8353
1166	9487
1175	5369
1184	4288
1184	4863
1185	9812
1214	2590
1221	1290
1221	4792
1235	2215
1235	3037
1235	4333
1235	6520
1235	7093
1235	7641
1235	9707
1237	4592
1245	2494
1247	7665
1259	8075
1269	8371
1280	4258
1298	8244
1298	8690
1323	8203
1328	2333
1343	5357
1343	8648
1348	7909
1348	7911
1350	9713
1358	4229
1362	2422
1362	3060
1385	7182
1390	4198
1392	4663
1392	7242
1401	9725
1416	6992
1419	8494
1428	4250
1428	6665
1428	8466
1442	5779
1442	5780
1443	2600
1443	8106
1444	8526
1450	3439
1450	5670
1455	2086
1455	2574
1455	9812
1456	1823
1456	2024
1456	2878
1456	3028
1456	5821
1456	6237
1456	9813
1457	7543
1466	9696
1469	7746
1478	8133
1481	7923
1490	4504
1507	4370
1513	4638
1513	7695
1515	3022
1519	6236
1519	7155
1519	7939
1519	8425
1531	9485
1539	4370
1539	6799
1541	9616
1545	6324
1554	4188
1562	4096
1562	6929
1562	8106
1563	4927
1563	8017
1563	8753
1564	1870
1564	2272
1564	2924
1564	3708
1564	4454
1564	4927
1564	8017
1564	8753
1564	8987
1580	3715
1580	7093
1581	3593
1582	4741
1582	4963
1588	5993
1588	7737
1602	4227
1602	7469
1613	2924
1635	4251
1635	6618
1651	6464
1651	8303
1652	6661
1658	3405
1658	4192
1658	5248
1658	5859
1658	7875
1672	6481
1681	3352
1692	1820
1692	5552
1692	8307
1697	6726
1698	2856
1698	4765
1698	4767
1698	7037
1698	7469
1699	6787
1712	8615
1745	2402
1758	4272
1762	2879
1774	2028
1775	3904
1775	8268
1775	8834
1775	8835
1777	3904
1777	8268
1777	8834
1777	8835
1786	5558
1786	9323
1789	4175
1789	8133
1789	8801
1799	5339
1815	4366
1819	5553
1820	5552
1820	8307
1823	4469
1823	5071
